﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
371,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,26,臺中市,豐原區,0,0,0,5,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,,1,13,4,120.717595,24.23662,3
372,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,27,臺中市,大雅區,0,1,0,7,1,6,40,13,14,1,5,4,6,6,4,4,1,4,4,1,17,2,9,1,1,C03,7,9,1,10,2,11,,59,59,1,13,4,120.675325,24.216229,2
373,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,28,臺中市,西屯區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,59,,1,13,4,120.653251,24.166805,3
374,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,28,臺中市,大里區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,1,1,5,5,4,2,16,2,9,1,1,C03,7,6,1,10,2,11,,39,39,1,12,4,120.69403,24.113829,2
375,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,30,臺中市,南屯區,0,1,0,6,1,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,3,2,9,2,4,C03,7,9,1,10,2,16,,59,59,1,6,4,120.613039,24.138548,2
376,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,30,臺中市,西屯區,0,0,0,7,,,0,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,8,,1,12,4,120.663332,24.163879,3
377,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,30,臺中市,大肚區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,2,9,2,1,C03,7,9,1,10,2,12,,21,21,1,6,4,120.581376,24.174784,2
378,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,30,臺中市,清水區,0,0,0,7,,,40,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,40,,1,12,4,120.571258,24.298527,3
379,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,31,臺中市,西屯區,0,0,0,6,,,80,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.634203,24.174528,3
380,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,31,臺中市,霧峰區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,,1,6,4,120.68833,24.055354,3
381,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,33,臺中市,烏日區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,5,4,B03,7,5,1,8,2,5,,84,84,1,12,4,120.614085,24.106776,2
382,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,36,臺中市,西區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,5,1,B03,7,11,1,8,2,3,,45,45,1,6,4,120.66512,24.130527,2
383,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,36,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,,1,12,4,120.604624,24.160694,3
384,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,36,臺中市,石岡區,0,1,0,7,3,6,70,3,1,1,5,4,6,6,1,1,1,4,4,1,17,2,9,5,4,C03,7,6,1,10,2,12,,48,48,1,13,4,120.784721,24.274524,2
385,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,38,臺中市,東區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,1,1,5,4,5,2,18,2,8,2,1,C03,7,9,1,10,2,15,,84,84,1,12,4,120.696931,24.147744,2
386,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,38,臺中市,大里區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,5,5,4,1,13,3,10,3,1,B03,7,9,1,8,2,1,,59,59,1,6,4,120.697073,24.107515,2
387,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,38,臺中市,后里區,0,1,0,5,1,6,30,12,9,1,4,4,6,6,4,4,10,5,5,1,18,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.718926,24.288933,2
388,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,40,臺中市,大雅區,0,1,0,6,3,6,40,4,1,1,4,4,6,6,1,1,3,4,4,2,28,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,13,4,120.631732,24.230068,2
389,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,40,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,85,,1,12,4,120.695772,24.159588,4
390,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,40,臺中市,南屯區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,,1,6,4,120.627888,24.128842,3
391,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,40,臺中市,北屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,12,3,10,3,1,B03,7,7,1,8,1,2,,42,42,1,12,4,120.676129,24.197903,2
392,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,40,臺中市,清水區,0,0,0,7,,,90,,,,,,,,,,,,,,,,,,,A12,,,1,,2,,,59,,1,12,4,120.547372,24.275519,3
393,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,41,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,,1,12,4,120.659862,24.113119,3
394,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,42,臺中市,西屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,8,4,5,1,17,2,9,5,4,C03,7,6,1,10,1,13,,11,11,1,13,4,120.645478,24.192382,2
395,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,43,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,,1,13,4,120.650883,24.153754,3
396,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,43,臺中市,神岡區,0,1,0,5,2,6,50,13,9,1,4,4,6,6,4,4,5,4,5,1,13,2,9,5,4,C03,7,9,1,10,2,11,,59,59,1,13,4,120.701714,24.262777,2
397,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,45,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.685093,24.162653,3
398,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,45,臺中市,烏日區,0,0,0,7,,,60,,,,,,,,,,,,,,2,,,,,B03,,,1,,2,,,40,,1,6,4,120.61503,24.106286,3
399,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,45,臺中市,大甲區,0,1,0,7,1,6,50,13,7,1,5,4,6,6,4,4,5,4,4,1,17,3,10,3,1,B03,7,11,1,8,2,4,,45,45,1,12,4,120.637724,24.36054,2
400,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,45,臺中市,豐原區,0,1,0,6,1,6,50,13,8,1,4,4,6,6,4,4,1,4,4,1,18,2,9,2,4,C03,7,9,1,10,2,16,,59,59,1,12,4,120.703115,24.240314,2
401,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,45,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,7,,1,6,4,120.722101,24.275583,4
402,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,46,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.721487,24.181881,3
403,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,46,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,50,50,1,6,4,120.689392,24.170904,3
404,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,47,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,6,4,120.598841,24.346294,3
405,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,48,臺中市,北屯區,0,2,0,6,1,6,50,4,4,1,5,4,6,6,2,1,1,2,5,2,13,2,7,2,1,C03,7,12,1,10,2,11,,7,7,1,5,4,120.681685,24.17266,2
406,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,48,臺中市,霧峰區,0,0,0,7,,,30,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,29,,1,13,4,120.685698,24.055771,3
407,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,50,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,20,,1,13,4,120.616792,24.156368,3
408,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,50,臺中市,烏日區,0,0,0,7,1,6,60,13,7,1,5,4,6,6,4,4,1,4,1,2,13,3,10,3,1,B03,7,9,1,8,1,1,,7,7,1,6,4,120.648256,24.084749,3
409,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,52,臺中市,西屯區,0,2,0,6,3,6,40,13,8,1,5,4,6,6,4,4,5,5,4,1,12,2,9,1,1,C03,7,5,1,10,1,12,,84,84,1,13,4,120.661869,24.163882,2
410,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,52,臺中市,西屯區,0,2,0,6,1,6,50,4,2,1,5,4,6,6,2,1,9,5,5,2,16,2,9,1,1,C03,7,6,1,10,2,13,,59,59,1,12,4,120.616268,24.179491,2
411,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,53,臺中市,豐原區,0,0,0,5,1,6,40,13,14,1,4,4,6,6,4,4,5,5,5,1,9,3,10,5,4,B03,7,3,1,8,2,2,,84,84,1,12,4,120.723311,24.246988,3
412,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,55,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,40,,1,13,4,120.675528,24.163024,3
413,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,56,臺中市,西區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,1,1,10,5,5,2,17,2,9,5,4,C03,7,8,1,10,2,14,,35,35,1,12,4,120.661725,24.144333,2
414,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,56,臺中市,西屯區,0,1,0,7,1,6,60,3,1,1,4,4,6,6,1,1,3,4,5,2,18,2,3,2,1,C03,7,6,1,10,2,14,,87,87,1,12,4,120.59745,24.191535,2
415,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,57,臺中市,潭子區,0,1,0,7,1,6,40,13,8,1,4,4,6,6,4,4,5,4,4,2,17,2,9,1,1,C03,7,9,1,10,2,11,,59,59,1,12,4,120.679176,24.204754,2
416,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,57,臺中市,后里區,0,1,0,5,1,6,50,5,2,1,4,4,6,6,1,1,5,5,5,1,13,3,10,3,1,B03,7,9,1,8,2,1,,59,59,1,6,4,120.709839,24.305232,2
417,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,17,58,臺中市,龍井區,0,0,0,6,,,40,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,84,84,1,6,4,120.573993,24.183399,3
418,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,0,臺中市,西區,0,1,0,7,1,6,50,3,2,1,5,4,6,6,4,4,10,5,5,2,13,3,10,5,4,B03,7,9,1,8,2,1,,7,7,1,12,4,120.679551,24.139785,2
419,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,0,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,40,,1,6,4,120.671111,24.174141,3
420,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,0,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,12,4,120.728937,24.169796,3
421,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,5,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,11,11,1,12,4,120.649871,24.144947,3
422,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,5,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,8,,1,12,4,120.615468,24.189164,3
423,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,6,臺中市,龍井區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,1,2,10,5,5,2,17,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,13,4,120.549945,24.209592,2
424,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,7,臺中市,大里區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,28,2,9,1,1,C03,7,9,1,10,2,12,,59,59,1,12,4,120.699024,24.095993,2
425,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,9,臺中市,南屯區,0,0,0,6,1,6,50,13,9,1,5,4,6,6,1,1,5,2,4,2,12,,,,,B03,,,1,,1,,,11,11,1,12,4,120.625818,24.140633,3
426,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,10,臺中市,大雅區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,48,48,1,12,4,120.650364,24.219661,3
427,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,10,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,8,2,,,7,7,1,12,4,120.674118,24.163715,3
428,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,10,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,8,1,,,7,7,1,12,4,120.68627,24.185439,3
429,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,12,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,,1,13,4,120.662727,24.171867,3
430,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,15,臺中市,西屯區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,1,1,1,4,1,1,17,2,9,5,4,C03,7,9,1,10,2,12,,59,59,1,13,4,120.628763,24.163168,2
431,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,15,臺中市,大里區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,5,5,4,2,17,2,9,6,1,F01,7,8,7,21,2,14,,40,40,1,13,4,120.703176,24.091196,2
432,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,15,臺中市,太平區,0,0,0,7,1,6,50,13,14,1,5,4,6,6,4,4,5,2,5,1,30,3,10,3,1,B03,7,5,1,8,2,6,,58,58,1,6,4,120.712409,24.155915,3
433,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,17,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,84,,1,13,4,120.654436,24.169045,3
434,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,18,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,,1,6,4,120.68172,24.172507,3
435,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,19,臺中市,大甲區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,6,,11,11,1,6,4,120.620657,24.350555,2
436,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,20,臺中市,南屯區,0,0,0,7,,,80,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.619655,24.121871,3
437,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,21,臺中市,西屯區,0,0,0,6,,,70,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,59,,1,12,4,120.600169,24.182247,3
438,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,23,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,A12,,,1,,2,,,58,,1,12,4,120.54416,24.268027,3
439,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,30,臺中市,南屯區,0,0,0,7,,,80,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,,1,6,4,120.623033,24.140267,3
440,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,31,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,51,,1,13,4,120.627703,24.118793,3
441,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,33,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,84,,1,6,4,120.719527,24.219855,3
442,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,36,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.720664,24.175697,3
443,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,37,臺中市,清水區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,40,,1,12,4,120.551914,24.293638,3
444,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,43,臺中市,北區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,2,1,10,5,5,1,13,3,10,1,1,C03,7,9,1,10,2,11,,58,58,1,13,4,120.677808,24.150371,2
445,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,50,臺中市,沙鹿區,0,1,0,7,1,6,30,12,9,1,4,4,6,6,4,4,10,5,5,2,18,2,8,2,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.584595,24.223341,2
446,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,52,臺中市,北區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,76,,1,13,4,120.682056,24.165339,3
447,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,52,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,51,51,1,13,4,120.635139,24.162768,3
448,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,18,55,臺中市,豐原區,0,1,0,6,2,6,50,13,7,1,4,4,6,6,4,4,5,5,4,2,12,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.711071,24.250677,2
449,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,0,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,,1,13,4,120.65601,24.163437,3
450,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,1,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,59,,1,12,4,120.68354,24.133496,3
451,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,1,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,30,,,,,C03,,,1,,2,,,50,84,1,12,4,120.700777,24.134377,3
452,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,1,臺中市,龍井區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,4,5,1,12,2,9,2,1,C03,7,4,1,10,2,14,,42,42,1,6,4,120.584142,24.18229,2
453,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,3,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,,1,12,4,120.674231,24.142792,4
454,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,3,臺中市,南屯區,0,2,0,6,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,2,7,2,1,C03,7,6,1,10,2,12,,11,48,1,13,4,120.64975,24.155611,2
455,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,7,臺中市,北屯區,0,1,0,6,1,6,50,4,4,1,5,4,6,6,2,1,5,5,5,2,12,2,8,1,1,C03,7,8,1,10,2,13,,42,42,1,6,4,120.676356,24.174137,2
456,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,12,臺中市,后里區,0,1,0,6,1,6,50,12,9,1,4,4,6,6,4,4,5,5,5,2,28,,,,,,,,,,,,,118,118,1,,,120.70354,24.29105,2
457,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,14,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,12,4,120.6797,24.130444,3
458,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,14,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,84,,1,12,4,120.692557,24.132743,3
459,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,14,臺中市,南屯區,0,1,0,6,1,6,40,13,8,1,5,4,6,6,4,4,3,4,4,2,18,2,9,1,1,C03,7,9,1,10,2,14,,59,59,1,12,4,120.640746,24.151589,2
460,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,14,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,85,,1,13,4,120.641449,24.184372,3
461,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,15,臺中市,潭子區,0,0,0,7,,,80,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,,1,12,4,120.717184,24.198294,3
462,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,17,臺中市,大雅區,0,1,0,7,1,6,70,5,1,1,5,4,6,6,1,1,1,4,4,1,30,3,10,3,1,A41,7,9,1,1,2,8,,59,59,1,13,4,120.627605,24.242205,2
463,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,18,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,7,,1,13,4,120.685456,24.163099,3
464,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,20,臺中市,龍井區,0,2,0,7,1,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,3,2,5,6,5,H01,8,16,7,21,2,17,,98,98,1,6,5,120.58979,24.182771,2
465,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,24,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,,1,12,4,120.702624,24.165065,4
466,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,25,臺中市,北屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,2,9,1,1,C03,7,6,5,19,2,11,,11,11,1,6,4,120.718838,24.172649,2
467,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,31,臺中市,南區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,3,5,5,2,17,2,9,5,4,C03,7,9,1,10,2,11,,59,59,1,6,4,120.652214,24.117286,2
468,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,33,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,35,35,1,13,4,120.658741,24.1172,3
469,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,40,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,,1,6,4,120.696582,24.179324,4
470,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,40,臺中市,北屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,2,9,5,4,C03,7,6,1,10,2,11,,11,20,1,12,4,120.688448,24.177001,2
471,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,43,臺中市,北區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,2,1,10,5,5,1,12,3,10,3,1,B03,7,5,1,8,2,5,,20,20,1,13,4,120.679928,24.168365,2
472,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,45,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,51,,1,12,4,120.655504,24.113462,3
473,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,48,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,C03,,,1,,1,,,84,,1,12,4,120.681622,24.193182,3
474,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,48,臺中市,龍井區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,,1,6,4,120.593665,24.190384,3
475,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,54,臺中市,外埔區,0,1,0,6,1,6,30,11,9,1,4,4,6,6,4,4,10,5,5,1,11,2,9,1,1,C03,7,9,1,10,2,11,,84,84,1,6,4,120.690517,24.349711,2
476,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,19,59,臺中市,南屯區,0,0,0,7,,,40,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,40,,1,6,4,120.622673,24.145628,3
477,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,0,臺中市,東區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,B03,,,1,,9,,,84,,1,12,4,120.701484,24.133978,3
478,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,0,臺中市,南屯區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,6,4,120.633461,24.140695,3
479,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,0,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,50,,1,12,4,120.656781,24.198355,3
480,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,5,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B02,,,,,,,,7,7,1,12,4,120.707283,24.187767,4
481,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,13,臺中市,大里區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,12,,15,15,1,12,4,120.691045,24.087439,2
482,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,24,臺中市,西屯區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,42,1,12,4,120.660314,24.164382,3
483,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,30,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,15,,,,,C03,,,1,,2,,,51,,1,13,4,120.615247,24.333207,3
484,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,38,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,8,1,,,7,7,1,12,4,120.660301,24.192525,3
485,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,20,40,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,50,,1,6,4,120.681539,24.143287,4
